iter	Passed	Remaining
0	76	53754
1	93	32778
2	139	32484
3	183	31964
4	238	33123
5	284	32906
6	346	34342
7	378	32754
8	426	32731
9	471	32554
10	591	37024
11	642	36843
12	664	35105
13	746	36599
14	823	37607
15	836	35779
16	866	34826
17	892	33820
18	1054	37798
19	1081	36760
20	1181	38186
21	1365	42075
22	1402	41280
23	1420	40000
24	1481	39997
25	1509	39137
26	1606	40049
27	1634	39227
28	1679	38850
29	1693	37825
30	1712	36951
31	1762	36783
32	1780	35983
33	1811	35480
34	1824	34667
35	1871	34513
36	1909	34217
37	1940	33811
38	1953	33113
39	1996	32939
40	2033	32678
41	2062	32310
42	2242	34264
43	2273	33898
44	2341	34078
45	2446	34779
46	2459	34175
47	2483	33732
48	2496	33168
49	2533	32934
50	2562	32613
51	2619	32638
52	2637	32200
53	2661	31835
54	2679	31425
55	2744	31565
56	2760	31136
57	2821	31232
58	2843	30897
59	2907	31008
60	2947	30880
61	3016	31041
62	3048	30824
63	3073	30538
64	3113	30419
65	3171	30463
66	3226	30484
67	3727	34644
68	3791	34670
69	3860	34746
70	3895	34508
71	3940	34368
72	4012	34462
73	4089	34598
74	4219	35161
75	4282	35163
76	4314	34909
77	4327	34506
78	4346	34166
79	4364	33822
80	4377	33453
81	4402	33176
82	4463	33178
83	4511	33086
84	4523	32732
85	4569	32626
86	4607	32462
87	4631	32212
88	4705	32301
89	5073	34385
90	5087	34049
91	5106	33744
92	5124	33446
93	5178	33382
94	5218	33233
95	5249	33030
96	5311	33017
97	5335	32777
98	5446	33061
99	5472	32836
100	5492	32573
101	5548	32530
102	5604	32481
103	5653	32400
104	5719	32411
105	5775	32364
106	5831	32317
107	5880	32234
108	5959	32309
109	6190	33201
110	6262	33232
111	6315	33156
112	6382	33155
113	6451	33161
114	6482	32976
115	6571	33084
116	6616	32968
117	6641	32758
118	6702	32723
119	6751	32634
120	6773	32411
121	6802	32230
122	6820	31996
123	6853	31833
124	6868	31595
125	6883	31356
126	6930	31271
127	6985	31214
128	7013	31045
129	7072	31008
130	7107	30872
131	8194	35261
132	8259	35210
133	8324	35161
134	8337	34893
135	8397	34823
136	8438	34677
137	8461	34460
138	8477	34215
139	8612	34451
140	8632	34225
141	8707	34214
142	8730	34007
143	8780	33902
144	8849	33872
145	8879	33695
146	8921	33562
147	8944	33359
148	9003	33294
149	9023	33086
150	9073	32988
151	9112	32852
152	9135	32662
153	9185	32566
154	9222	32428
155	9281	32364
156	9307	32189
157	9366	32131
158	9420	32054
159	9483	32007
160	9523	31882
161	9586	31836
162	9648	31786
163	9689	31666
164	9729	31546
165	9797	31518
166	9810	31311
167	9833	31140
168	9856	30969
169	9905	30882
170	9960	30813
171	10045	30837
172	10085	30723
173	10124	30606
174	10142	30427
175	10155	30234
176	10280	30377
177	10349	30349
178	10416	30317
179	10540	30449
180	10584	30349
181	10639	30280
182	10669	30143
183	10725	30078
184	10755	29940
185	10785	29804
186	10808	29651
187	10821	29471
188	10845	29323
