iter	RMSE
0	0.2208217595
1	0.21366287
2	0.2072832632
3	0.2009315697
4	0.1950821457
5	0.1901438325
6	0.1849631684
7	0.1805001073
8	0.1765474232
9	0.1731140111
10	0.1700561352
11	0.1666687722
12	0.163807763
13	0.1612642974
14	0.1586673738
15	0.1571843477
16	0.155348246
17	0.1537375353
18	0.1523200417
19	0.1508620528
20	0.1497075125
21	0.1483019483
22	0.1469364182
23	0.14583768
24	0.1447850414
25	0.1439402386
26	0.1429446821
27	0.1421820408
28	0.1413248309
29	0.1405345887
30	0.139681715
31	0.1389121765
32	0.1380706919
33	0.1374763579
34	0.1367389212
35	0.1361148911
36	0.1354548668
37	0.1350615273
38	0.1345767367
39	0.1341849222
40	0.1337495995
41	0.1332815076
42	0.1328439921
43	0.1323899859
44	0.1319631476
45	0.1316404854
46	0.1313207008
47	0.1311180564
48	0.1306432262
49	0.1303105047
50	0.1300385486
51	0.129736248
52	0.129350346
53	0.128885485
54	0.1284954513
55	0.1279439214
56	0.1277510821
57	0.12750947
58	0.1271506356
59	0.1267462181
60	0.1264192335
61	0.1260830448
62	0.1258833668
63	0.1255033075
64	0.1251409324
65	0.1249149932
66	0.1248202504
67	0.1245598021
68	0.1242337589
69	0.1240680794
70	0.1237481236
71	0.1233761566
72	0.1231849718
73	0.1228901332
74	0.1227853307
75	0.1225440425
76	0.1223011347
77	0.1220770471
78	0.1218113249
79	0.1214807688
80	0.1212847367
81	0.1209980144
82	0.120728746
83	0.1205120252
84	0.1203251974
85	0.1202091731
86	0.1200508407
87	0.119865898
88	0.1197671899
89	0.1196037726
90	0.1191798789
91	0.1190721711
92	0.1189225478
93	0.1186991282
94	0.1185399086
95	0.1184154448
96	0.118215132
97	0.118024569
98	0.1178970908
99	0.117575832
100	0.1173613663
101	0.1172374743
102	0.1171124171
103	0.1169371952
104	0.1168243725
105	0.1167509489
106	0.1165735742
107	0.1163535015
108	0.116111337
109	0.1160000437
110	0.1158882171
111	0.1157526324
112	0.1156383216
113	0.1154446547
114	0.1153567302
115	0.1152492892
116	0.1151223275
117	0.1150875767
118	0.1148735061
119	0.114777949
120	0.114649747
121	0.1146001436
122	0.114333082
123	0.1142451141
124	0.1140687355
125	0.1139379231
126	0.1137173232
127	0.1135511833
128	0.1131717007
129	0.1129477633
130	0.1129132213
131	0.1127675658
132	0.1126356263
133	0.1124648657
134	0.1123967782
135	0.1123488075
136	0.1122305907
137	0.1120979188
138	0.1119532223
139	0.1118541549
140	0.1116824165
141	0.1115598473
142	0.1114767194
143	0.1113334407
144	0.1112899502
145	0.1111982067
146	0.111033007
147	0.110882266
148	0.11081311
149	0.1105885771
150	0.110495512
151	0.1103832165
152	0.1102890258
153	0.110155145
154	0.1100696404
155	0.1099770416
156	0.1098037747
157	0.1096656444
158	0.1092900394
159	0.1091510091
160	0.1089917006
161	0.1088579872
162	0.1087651361
163	0.1086573315
164	0.1086116726
165	0.1085076618
166	0.108442154
167	0.1083213344
168	0.1082600669
169	0.1080148062
170	0.10793621
171	0.1078248391
172	0.1077200783
173	0.1076595621
174	0.1075656184
175	0.1074945433
176	0.1073767781
177	0.1070364281
178	0.1069163196
179	0.1067774746
180	0.106658844
181	0.1065437964
182	0.1064483762
183	0.1063755891
184	0.1062604042
185	0.1060986976
186	0.10604032
187	0.1059620662
188	0.105907136
189	0.1058171682
190	0.1056713479
191	0.1055790644
192	0.1055330862
193	0.105428316
194	0.1053634647
195	0.1052366666
196	0.1051880185
197	0.1051173915
198	0.105009154
199	0.1049307881
200	0.1048676965
201	0.1047665922
202	0.104679458
203	0.1046073575
204	0.1045409563
205	0.1044639209
206	0.1042871015
207	0.1041979704
208	0.1041310942
209	0.1040964915
210	0.1039862739
211	0.1039238251
212	0.1038245683
213	0.1037686245
214	0.1037224568
215	0.1036703558
216	0.1035926823
217	0.1035670801
218	0.1034076689
219	0.1032792793
220	0.1031945151
221	0.103093468
222	0.1030332728
223	0.1029199848
224	0.1028638885
225	0.1027393358
226	0.1026571665
227	0.1025909804
228	0.1025423893
229	0.1023938082
230	0.1023599323
231	0.1022667865
232	0.1022025907
233	0.1021379627
234	0.10204136
235	0.1018016847
236	0.1017623985
237	0.1016577153
238	0.1015830691
239	0.1015371594
240	0.101453923
241	0.1014115732
242	0.1013070589
243	0.1012631326
244	0.1011388563
245	0.1011023086
246	0.1010305537
247	0.10098633
248	0.1009583614
249	0.1008756515
250	0.1008397642
251	0.1007938731
252	0.1006845414
253	0.1006515013
254	0.1004486021
255	0.1003921809
256	0.10034124
257	0.1003033918
258	0.1001685699
259	0.1001332673
260	0.1000555426
261	0.1000294743
262	0.09999283689
263	0.09987643788
264	0.09985272414
265	0.09977188775
266	0.0997136141
267	0.09966164096
268	0.0994985915
269	0.09945949574
270	0.09938653714
271	0.09925907753
272	0.09912124258
273	0.09899983282
274	0.09893102647
275	0.09887812816
276	0.09881487481
277	0.09877438933
278	0.09866287119
279	0.09859693044
280	0.09843096324
281	0.0983959394
282	0.09835016499
283	0.09832092206
284	0.09825843525
285	0.09821115825
286	0.09818948228
287	0.09814560289
288	0.09805133726
289	0.09797552668
290	0.09794816384
291	0.09780400314
292	0.09776914534
293	0.09772816706
294	0.09765799352
295	0.09754593919
296	0.09751258925
297	0.09746024936
298	0.09739345633
299	0.09735075325
300	0.09724989665
301	0.09715927458
302	0.09711036478
303	0.09701169483
304	0.09695436267
305	0.0969022633
306	0.09684428859
307	0.09680619534
308	0.09674896045
309	0.09672835751
310	0.09665894975
311	0.09658082939
312	0.0965284355
313	0.09647219692
314	0.09644524371
315	0.09641762007
316	0.09638815141
317	0.0963250104
318	0.09630924798
319	0.09627872182
320	0.0962489301
321	0.09618784623
322	0.09609183795
323	0.0960375442
324	0.0959977619
325	0.09596392141
326	0.09587169422
327	0.09580674394
328	0.09574583044
329	0.09568221922
330	0.09565223131
331	0.09560893363
332	0.0955468576
333	0.09550711536
334	0.09549364596
335	0.09545423561
336	0.09540272892
337	0.0953505002
338	0.09530347647
339	0.09524021064
340	0.09520237902
341	0.09514517116
342	0.0950811536
343	0.09505156742
344	0.09500284568
345	0.09494770025
346	0.0949135435
347	0.09489035672
348	0.0948032505
349	0.09475300658
350	0.09470035402
351	0.09463273919
352	0.09455169607
353	0.09441857807
354	0.0943551215
355	0.09430319436
356	0.09426388357
357	0.0942168631
358	0.09419878361
359	0.09416342661
360	0.09414728182
361	0.09411184693
362	0.09409046645
363	0.09400313326
364	0.09397811026
365	0.0939002772
366	0.09385052672
367	0.09380435119
368	0.09374173386
369	0.09367245573
370	0.09361106172
371	0.09357651356
372	0.09354696128
373	0.09350933738
374	0.09343756188
375	0.09337184841
376	0.09334482421
377	0.09331391405
378	0.09327492059
379	0.09325643104
380	0.09321404029
381	0.09313774267
382	0.09311125439
383	0.09307695288
384	0.09295663964
385	0.09290899103
386	0.09285986469
387	0.09283272799
388	0.0928003252
389	0.092780744
390	0.09273434906
391	0.09271665187
392	0.09270055514
393	0.09268067405
394	0.09265388327
395	0.09262475735
396	0.09258955002
397	0.09255249492
398	0.09251551526
399	0.09248575461
400	0.09239573794
401	0.09233782042
402	0.0923187408
403	0.09229676401
404	0.0922461923
405	0.09222323147
406	0.09216458829
407	0.0921246699
408	0.09196720955
409	0.09195456277
410	0.09194361501
411	0.09189320536
412	0.0918736965
413	0.09184066056
414	0.09181509663
415	0.09180048112
416	0.09177455755
417	0.09175050086
418	0.09172975115
419	0.09170386436
420	0.09163302957
421	0.0915781387
422	0.09148504943
423	0.09144614929
424	0.09140193821
425	0.09132873508
426	0.09128612123
427	0.09123720269
428	0.0912097669
429	0.09119239055
430	0.09113257151
431	0.09109974356
432	0.09107426358
433	0.09105292806
434	0.09103374075
435	0.09102225841
436	0.09100640406
437	0.09090625421
438	0.09088588591
439	0.09087078511
440	0.09084203351
441	0.09081037038
442	0.09078717769
443	0.09071873878
444	0.09067652051
445	0.09066599493
446	0.0906433091
447	0.09062366852
448	0.09059485064
449	0.09052907439
450	0.09048014734
451	0.09043871461
452	0.09040974997
453	0.09033658033
454	0.09030423156
455	0.09028278756
456	0.09024132456
457	0.0902002676
458	0.09016761313
459	0.09013769597
460	0.0901238959
461	0.09009000379
462	0.09005483612
463	0.089977825
464	0.08995279113
465	0.08994021753
466	0.08992338187
467	0.0899020591
468	0.08985001119
469	0.0898355235
470	0.08973120151
471	0.08967000548
472	0.0896234068
473	0.08960674459
474	0.08957612206
475	0.08954433399
476	0.08952529123
477	0.08948338251
478	0.08946416466
479	0.0894551266
480	0.08942931064
481	0.08940973957
482	0.08937295155
483	0.08935789993
484	0.08929642687
485	0.08926383666
486	0.08924557018
487	0.08921259532
488	0.0891375445
489	0.08912033335
490	0.08908062757
491	0.0890726038
492	0.08902281348
493	0.08898815029
494	0.08896842832
495	0.08895375129
496	0.08890799148
497	0.08886591402
498	0.08884370819
499	0.08881929664
500	0.08878041542
501	0.08874384251
502	0.08872713082
503	0.08870406669
504	0.08867052755
505	0.08864575027
506	0.08861146253
507	0.08853237985
508	0.0885229091
509	0.08846584381
510	0.08841825242
511	0.08840676287
512	0.08837150257
513	0.08835764551
514	0.08834223127
515	0.08830511266
516	0.08827507337
517	0.08823723823
518	0.08820570355
519	0.08818666286
520	0.08817844619
521	0.08816815244
522	0.08814591157
523	0.08810724358
524	0.08807532197
525	0.08806305289
526	0.08803742287
527	0.08802279588
528	0.08800245171
529	0.08797275226
530	0.08788256014
531	0.08786541075
532	0.08785002513
533	0.08784059579
534	0.08783413634
535	0.08782016887
536	0.08779610015
537	0.08776445602
538	0.08773183527
539	0.08770333127
540	0.08768258221
541	0.08761584269
542	0.08760500177
543	0.08756972938
544	0.08753909676
545	0.08750456065
546	0.08747497479
547	0.08746418815
548	0.08745097428
549	0.08741193001
550	0.08738892548
551	0.08735828146
552	0.08733437584
553	0.08728938471
554	0.08725015996
555	0.0871520168
556	0.0871221151
557	0.08711488258
558	0.08710079693
559	0.08707192132
560	0.0870437265
561	0.08701389691
562	0.08693603454
563	0.0868857341
564	0.08683709343
565	0.08678165412
566	0.08676031291
567	0.08674777998
568	0.08672155271
569	0.08671062445
570	0.08664762103
571	0.0866229558
572	0.08659514181
573	0.08650739607
574	0.0864783636
575	0.08646292635
576	0.08643834911
577	0.08641186818
578	0.08640125384
579	0.08637542758
580	0.0863684488
581	0.08634411214
582	0.08630750105
583	0.08630081856
584	0.08626367765
585	0.08624001758
586	0.08622025867
587	0.08619316861
588	0.08617498842
589	0.086167537
590	0.08614513791
591	0.08613050684
592	0.08611039991
593	0.08608940983
594	0.08603436493
595	0.08600504765
596	0.08598397916
597	0.08596501958
598	0.08590658866
599	0.08586099428
600	0.08582195453
601	0.08579282131
602	0.08578152404
603	0.08575896449
604	0.08572649286
605	0.08569834629
606	0.0856708594
607	0.08565350504
608	0.08562285492
609	0.08559896801
610	0.08559058051
611	0.08557608098
612	0.08554924083
613	0.085525828
614	0.08550108459
615	0.08541887125
616	0.08534498581
617	0.08530685751
618	0.08527258945
619	0.08524192403
620	0.08522800783
621	0.0852133767
622	0.08519182173
623	0.08517460457
624	0.08516262059
625	0.08512287499
626	0.08510632175
627	0.08505364509
628	0.08502823267
629	0.08501910568
630	0.08500282733
631	0.08499453294
632	0.08497771144
633	0.08495391163
634	0.08490155736
635	0.08486671839
636	0.08484641154
637	0.08483988237
638	0.08482819471
639	0.08480393677
640	0.08478215379
641	0.08470321811
642	0.08469359161
643	0.08468105512
644	0.08464251575
645	0.08463626427
646	0.08462228641
647	0.0845874815
648	0.08455513738
649	0.0845309778
650	0.08448446844
651	0.08445307769
652	0.08443041775
653	0.08439491338
654	0.08437072274
655	0.08434582055
656	0.08432848358
657	0.08430604555
658	0.08425106039
659	0.08422710966
660	0.08420426091
661	0.08418839848
662	0.08415535236
663	0.08414078661
664	0.08411888888
665	0.08408835765
666	0.0840727564
667	0.08400869086
668	0.0839924928
669	0.08397073652
670	0.08395750435
671	0.08393778572
672	0.08390900156
673	0.08388743735
674	0.0838694016
675	0.08382884999
676	0.08381411953
677	0.08378418648
678	0.08375663477
679	0.08374090388
680	0.08371446677
681	0.0836819362
682	0.08366696066
683	0.08365643084
684	0.08363070248
685	0.08361118964
686	0.08360193245
687	0.08354996316
688	0.08354117786
689	0.0835102264
690	0.08349237834
691	0.08346485634
692	0.08344943364
693	0.08344182435
694	0.08341893725
695	0.08332410716
696	0.08329757049
697	0.08326083222
698	0.08325518205
699	0.0832355422
700	0.08319749406
701	0.08316806003
702	0.08312071763
703	0.08311099991
704	0.08310279758
705	0.08308596841
706	0.08307221434
707	0.08303748924
708	0.08301074795
709	0.08299939178
710	0.08298050987
711	0.08295254634
712	0.0829385679
713	0.0829111747
714	0.08287303
715	0.08284866594
716	0.08282720668
717	0.08276676314
718	0.08274968513
719	0.0827037278
720	0.08269900545
721	0.08268930759
722	0.08268029816
723	0.08262247985
724	0.08259281329
725	0.08257809908
726	0.08256838743
727	0.08254835606
728	0.08251862021
729	0.08248669184
730	0.0824575776
731	0.08243565187
732	0.08240292884
733	0.08236685311
734	0.08234306708
735	0.08230911512
736	0.08222772767
737	0.0822081018
738	0.08217223886
739	0.08214224334
740	0.08211850232
741	0.08210111063
742	0.08208394203
743	0.08206772829
744	0.08206044622
745	0.08203922388
746	0.08201860497
747	0.08200628302
748	0.08198320212
749	0.08196609139
750	0.08193650461
751	0.0819276573
752	0.08188637076
753	0.08185680921
754	0.08182755154
755	0.08177898108
756	0.0817490094
757	0.08174047477
758	0.08171351803
759	0.08169839833
760	0.08168784478
761	0.08166557179
762	0.08163002603
763	0.08161039071
764	0.0815966915
765	0.08158011692
766	0.08156153376
767	0.0815454234
768	0.08151239645
769	0.08147331002
770	0.08145367155
771	0.08143624076
772	0.08140307724
773	0.08137436337
774	0.08134226854
775	0.08132863111
776	0.08129112192
777	0.08125702788
778	0.0812318866
779	0.08120550946
780	0.08115094953
781	0.08112796737
782	0.08106893236
783	0.08103517784
784	0.08100894056
785	0.08099109724
786	0.08096210342
787	0.08095784936
788	0.08093387958
789	0.08092393073
790	0.08089127996
791	0.08085903079
792	0.08083279442
793	0.08081418039
794	0.08079481237
795	0.0807548783
796	0.08074576009
797	0.08073221495
798	0.08071235555
799	0.08070001014
800	0.08068108511
801	0.08066584569
802	0.08065802598
803	0.0806456787
804	0.08064036684
805	0.08062101691
806	0.08061009409
807	0.08059535142
808	0.08057604761
809	0.08056352357
810	0.08054632419
811	0.08054062722
812	0.08052146114
813	0.08049827107
814	0.08049043257
815	0.08047285619
816	0.08045785572
817	0.08041560683
818	0.08040194975
819	0.08039810489
820	0.08038999981
821	0.08036947717
822	0.08036203188
823	0.08033700485
824	0.08032440576
825	0.08030948586
826	0.08030378776
827	0.08029225796
828	0.08024472126
829	0.08023164306
830	0.08022116656
831	0.08019606006
832	0.08016260329
833	0.08015099269
834	0.0801319995
835	0.08012720294
836	0.08012284471
837	0.08010740918
838	0.08010068734
839	0.0800844253
840	0.08005688947
