iter	Passed	Remaining
0	8265	818282
1	15016	735807
2	21917	708662
3	26719	641259
4	30668	582701
5	34659	543003
6	38668	513737
7	42531	489117
8	46446	469625
9	50308	452778
10	54133	437991
11	57988	425250
12	59461	397932
13	63309	388900
14	67109	380285
15	70920	372333
16	74763	365023
17	78580	357977
18	79299	338067
19	83153	332614
20	87038	327429
21	90947	322449
22	95047	318203
23	98931	313281
24	102789	308368
25	106675	303614
26	110495	298745
27	114370	294094
28	118175	289327
29	122027	284731
30	125884	280194
31	129319	274803
32	133181	270397
33	136993	265928
34	141174	262181
35	145135	258017
36	148959	253633
37	152765	249248
38	156564	244882
39	160477	240716
40	160506	230972
41	164360	226974
42	168219	222988
43	172038	218958
44	175854	214933
45	179687	210937
46	183539	206970
47	187386	203002
48	191212	199017
49	195028	195028
50	198413	190632
51	202257	186699
52	206097	182765
53	209947	178843
54	213868	174983
55	217750	171089
56	221637	167200
57	225515	163304
58	226260	157231
59	230099	153399
60	233917	149553
61	237747	145716
62	241576	141878
63	245449	138065
64	249268	134221
65	253122	130396
66	256927	126546
67	260752	122706
68	264565	118862
69	268544	115090
70	272381	111254
71	276253	107432
72	280102	103599
73	283973	99774
74	287800	95933
75	291658	92102
76	295454	88252
77	299260	84406
78	303059	80560
79	303151	75787
80	306984	72008
81	310393	68135
82	314250	64364
83	318085	60587
84	321943	56813
85	326170	53097
86	330166	49335
87	334078	45556
88	337944	41768
89	341899	37988
90	345884	34208
91	346267	30110
92	350149	26355
93	354154	22605
94	358061	18845
95	361904	15079
96	365793	11313
97	369673	7544
98	373634	3774
99	377530	0
