iter	Logloss
0	0.5694549782
1	0.4737934249
2	0.4227812583
3	0.3778926309
4	0.3536492163
5	0.335998588
6	0.3200733147
7	0.3103289692
8	0.3024423238
9	0.2998972773
10	0.2945286012
11	0.2897362768
12	0.2870723694
13	0.2854134572
14	0.2839943225
15	0.283087397
16	0.2815848758
17	0.2803474137
18	0.2789726583
19	0.2783182233
20	0.277765884
21	0.2767139041
22	0.2765344465
23	0.275848226
24	0.2754246481
25	0.274156292
26	0.2739571251
27	0.273407018
28	0.2730716595
29	0.2724684756
30	0.2719926408
31	0.2716357944
32	0.2713964095
33	0.2713604859
34	0.2709133072
35	0.2705720738
36	0.2704428498
37	0.2703111437
38	0.2702631666
39	0.2700331943
40	0.2699028455
41	0.2697777967
42	0.2696535571
43	0.269620684
44	0.2694002421
45	0.2693396947
46	0.2691566813
47	0.2691367821
48	0.2691164724
49	0.2690310581
50	0.2689829993
51	0.2683626572
52	0.2681987495
53	0.2680529235
54	0.2679874877
55	0.2677105032
56	0.2675684973
57	0.2675633275
58	0.2674835038
59	0.2672158329
60	0.267211803
61	0.2671822867
62	0.2671806337
63	0.2671777794
64	0.2671683874
65	0.2671426418
66	0.2670705899
67	0.2670649727
68	0.266959404
69	0.2669588379
70	0.2669584946
71	0.2668491191
72	0.2668414962
73	0.2665685255
74	0.2662337467
75	0.2662322584
76	0.266126962
77	0.2661268487
78	0.2660135189
79	0.2660096883
80	0.2656302028
81	0.2655855776
82	0.2654793792
83	0.2654582108
84	0.2653370511
85	0.265310047
86	0.2653069751
87	0.2652451698
88	0.2649400606
89	0.2647994781
90	0.2647988829
91	0.2644476591
92	0.2644378366
93	0.2643417843
94	0.2641985242
95	0.2641877162
96	0.2639250683
97	0.2639222879
98	0.2637207676
99	0.2637169045
100	0.2634617464
101	0.2631497179
102	0.2628215703
103	0.2628156798
104	0.2627845648
105	0.2627155481
106	0.2626468005
107	0.2626224953
108	0.2624902668
109	0.2624175716
110	0.2624111766
111	0.2620503925
112	0.2620495249
113	0.261895085
114	0.261894433
115	0.2618292331
116	0.2617236368
117	0.26171032
118	0.2617088385
119	0.261650726
120	0.2616505926
121	0.2616504898
122	0.2610143025
123	0.2609843182
124	0.2609687625
125	0.2609513345
126	0.2609012939
127	0.2607383048
128	0.2606545269
129	0.260558505
130	0.2602302049
131	0.2602181232
132	0.2602166723
133	0.2601967463
134	0.2601931986
135	0.260190444
136	0.2601879136
137	0.2600612862
138	0.2600605979
139	0.2600357134
140	0.2599630775
141	0.2599446577
142	0.2598782807
143	0.2596963776
144	0.2596917606
145	0.2595711146
146	0.2594031331
147	0.2592510751
148	0.2588402352
149	0.2587379726
150	0.2587354812
151	0.2586182031
152	0.2586159253
153	0.2585517712
154	0.2584613773
155	0.2584467224
156	0.2583016807
157	0.258273739
158	0.2582197714
159	0.2580736391
160	0.2580358536
161	0.2580338907
162	0.2579739471
163	0.2576476686
164	0.2575092044
165	0.2574001769
166	0.2573912577
167	0.2573884174
168	0.2573869097
169	0.2573800434
170	0.257378114
171	0.2573744094
172	0.2573729339
173	0.2573720056
174	0.2573707631
175	0.2573619388
176	0.257319031
177	0.2571618129
178	0.2571514319
179	0.2570857486
180	0.2570855351
181	0.257043065
182	0.2570135868
183	0.2570097312
184	0.2570081872
185	0.2570065739
186	0.2569929304
187	0.256809421
188	0.2568074237
189	0.2565943395
190	0.2564728616
191	0.2564117339
192	0.2563922047
193	0.2563834956
194	0.2563583482
195	0.2563490322
196	0.2563167742
197	0.2563128943
198	0.2563114543
199	0.256309539
200	0.2562862451
201	0.2562820588
202	0.2561757424
203	0.2560898216
204	0.2560132806
205	0.2559340816
206	0.2559276829
207	0.2553183139
208	0.2553030882
209	0.2553023633
210	0.2553021533
211	0.2552932075
212	0.255166046
213	0.2551575883
214	0.2551545125
215	0.2551524586
216	0.2551161298
217	0.2551121245
218	0.2545739056
219	0.2539217911
220	0.2539113927
221	0.2539094534
222	0.2539091734
223	0.2539059133
224	0.2538965268
225	0.2538732655
226	0.2537327587
227	0.2537282927
228	0.253728039
229	0.2536327561
230	0.2536216619
231	0.2535646743
232	0.2535510296
233	0.2535485156
234	0.2534769272
235	0.253470308
236	0.2534631471
237	0.2534630802
238	0.2534610299
239	0.2534546586
240	0.2534430017
241	0.2534321287
242	0.2534236329
243	0.2534163617
244	0.2533221854
245	0.2533204729
246	0.2532864511
247	0.253284457
248	0.2532818687
249	0.2532800726
250	0.253174786
251	0.2531737019
252	0.2529913192
253	0.2529709484
254	0.2529468463
255	0.252927753
256	0.2528561515
257	0.252851219
258	0.2528218187
259	0.2528187399
260	0.2528149621
261	0.2526105068
262	0.2525589673
263	0.2525557082
264	0.2523938109
265	0.2523874005
266	0.2523866168
267	0.2520921523
268	0.2520624527
269	0.2520562
270	0.2519277191
271	0.2519052967
272	0.2519022816
273	0.251901075
274	0.251899975
275	0.2518986737
276	0.2518969456
277	0.2518956019
278	0.2518945079
279	0.2518929651
280	0.2518877302
281	0.2518751705
282	0.2518751302
283	0.251875128
284	0.2518391707
285	0.2514636879
286	0.2513431947
287	0.2513425713
288	0.2513357711
289	0.2513324253
290	0.251154833
291	0.2511496308
292	0.251139364
293	0.2510671233
294	0.2510580724
295	0.2510558434
296	0.250891395
297	0.250888164
298	0.2508827091
299	0.2508819441
300	0.2507372302
301	0.2507368009
302	0.2507293213
303	0.2504581634
304	0.2504570756
305	0.2504548465
306	0.2504507948
307	0.2504478348
308	0.2504458218
309	0.2504309014
310	0.2504298973
311	0.250427633
312	0.2504205265
313	0.2504177159
314	0.250411028
315	0.2503546787
316	0.2503511505
317	0.2503503189
318	0.2503474934
319	0.2501184407
320	0.2500012086
321	0.250000394
322	0.2499686618
323	0.2498849012
324	0.2498832475
325	0.2498772625
326	0.2497393348
327	0.249718299
328	0.2497159964
329	0.2497009961
330	0.2496950233
331	0.2496487889
332	0.2496482498
333	0.2493838846
334	0.249298079
335	0.2490936573
336	0.2490929239
337	0.2490891587
338	0.2490863554
339	0.2490856491
340	0.2490823496
341	0.2490822481
342	0.2489997521
343	0.2486870644
344	0.2485648504
345	0.2485534995
346	0.2485449648
347	0.2484144037
348	0.2480549165
349	0.2479708156
350	0.2479667258
351	0.247962948
352	0.2479589152
353	0.2479517334
354	0.2476626874
355	0.2476348088
356	0.2475687107
357	0.247568173
358	0.2475673096
359	0.2475622416
360	0.2475611996
361	0.2475606722
362	0.2475198287
363	0.2475169059
364	0.2474923444
365	0.2474919453
366	0.2474874336
367	0.2473884456
368	0.2473749605
369	0.2473733554
370	0.2473712005
371	0.2473698506
372	0.2473671593
373	0.2473296351
374	0.2473271982
375	0.2473267411
376	0.2472087914
377	0.247208657
378	0.2469796767
379	0.2469782484
380	0.246976973
381	0.246974809
382	0.2469743345
383	0.2469743322
384	0.2469687189
385	0.2469639944
386	0.2469617568
387	0.2468869254
388	0.2468707739
389	0.2468063788
390	0.2468063663
391	0.2468061944
392	0.2467658016
393	0.2467619547
394	0.2467594577
395	0.2467065899
396	0.2465958285
397	0.2465942662
398	0.2465904712
399	0.2465771556
400	0.2465725744
401	0.2465723718
402	0.246571965
403	0.2465708409
404	0.2465701493
405	0.2465684118
406	0.2465677671
407	0.2465672025
408	0.2465429477
409	0.2465428118
410	0.2465424131
411	0.2465408108
412	0.2465407176
413	0.2465307941
414	0.2463158592
415	0.2463156582
416	0.2463073248
417	0.2463065113
418	0.2463059593
419	0.2462898314
420	0.2462897449
421	0.2460900767
422	0.2458680469
423	0.2458463924
424	0.2458423683
425	0.2457153534
426	0.2457144785
427	0.2457142916
428	0.245713153
429	0.2457019784
430	0.2456969897
431	0.2456962351
432	0.2456961552
433	0.2456741485
434	0.2455566524
435	0.2455565258
436	0.2455556173
437	0.2455555613
438	0.2455549133
439	0.2455347491
440	0.2455346572
441	0.2455304641
442	0.2455297178
443	0.2455292756
444	0.2455206463
445	0.2455204517
446	0.2454921175
447	0.2454921117
448	0.2454710157
449	0.2454692907
450	0.2454571121
451	0.2454434612
452	0.2454333268
453	0.2454298929
454	0.2454298008
455	0.2454296473
456	0.2454288337
457	0.2454284582
458	0.245109326
459	0.2451072302
460	0.2450670774
461	0.2450670195
462	0.2450291438
463	0.2450224583
464	0.2450110508
465	0.2450109676
466	0.2450032617
467	0.2449444936
468	0.244943182
469	0.2449421515
470	0.2449407922
471	0.2446341341
472	0.2446325963
473	0.2446323307
474	0.2446319913
475	0.2446316064
476	0.2446047846
477	0.2446047023
478	0.2446044729
479	0.2446044138
480	0.2445990197
