iter	Passed	Remaining
0	44	22104
1	309	77107
2	625	103594
3	696	86427
4	736	72892
5	974	80222
6	1178	83034
7	1413	86936
8	1619	88374
9	1676	82131
10	1803	80187
11	1966	79957
12	2189	82031
13	2329	80882
14	2378	76915
15	2455	74285
16	2502	71091
17	2571	68853
18	2720	68860
19	2795	67088
20	2826	64475
21	2878	62545
22	2920	60559
23	2983	59166
24	3018	57358
25	3242	59118
26	3283	57524
27	3355	56566
28	3386	54996
29	3609	56545
30	3649	55219
31	3696	54068
32	3772	53384
33	3801	52105
34	3875	51490
35	3935	50728
36	4001	50075
37	4059	49350
38	4122	48732
39	4256	48951
40	4398	49244
41	4449	48524
42	4526	48102
43	4569	47357
44	4806	48601
45	4860	47973
46	4927	47488
47	4991	47001
48	5061	46585
49	5129	46166
50	5224	45999
51	5487	47277
52	5539	46716
53	5575	46049
54	5653	45743
55	5743	45537
56	5804	45111
57	5845	44545
58	5901	44109
59	6016	44124
60	6066	43658
61	6116	43213
62	6150	42663
63	6235	42479
64	6284	42055
65	6412	42167
66	6479	41873
67	6522	41438
68	6583	41121
69	6627	40709
70	6667	40285
71	6755	40159
72	6850	40071
73	6908	39771
74	7154	40540
75	7186	40092
76	7231	39724
77	7258	39268
78	7294	38871
79	7337	38524
80	7599	39311
81	7638	38939
82	7892	39654
83	7936	39302
84	8081	39455
85	8142	39195
86	8172	38793
87	8247	38613
88	8535	39415
89	8852	40326
90	8884	39932
91	9138	40527
92	9210	40308
93	9456	40845
94	9602	40938
95	9635	40547
96	9890	41093
97	9929	40730
98	10168	41185
99	10191	40765
100	10421	41169
101	10666	41619
102	10919	42088
103	10966	41755
104	11101	41761
105	11347	42177
106	11480	42168
107	11525	41834
108	11764	42200
109	11990	42511
110	12116	42462
111	12364	42833
112	12404	42483
113	12645	42817
114	12672	42426
115	12898	42697
116	13168	43108
117	13421	43449
118	13467	43117
119	13704	43398
120	13740	43037
121	13772	42672
122	14085	43171
123	14154	42919
124	14267	42801
125	14396	42731
126	14552	42740
127	14921	43364
128	15310	44032
129	15576	44333
130	15950	44929
131	15996	44595
132	16028	44227
133	16155	44126
134	16197	43792
135	16272	43553
136	16321	43245
137	16528	43358
138	16565	43021
139	16781	43152
140	16988	43253
141	17060	43012
142	17271	43117
143	17489	43236
144	17699	43334
145	17920	43451
146	18148	43581
147	18359	43665
148	18567	43739
149	18767	43790
150	18796	43444
151	19009	43522
152	19046	43196
153	19265	43284
154	19504	43413
155	19769	43595
156	20025	43750
157	20232	43794
158	20444	43845
159	20646	43874
160	20852	43907
161	20938	43686
162	21152	43733
163	21349	43740
164	21547	43747
165	21766	43795
166	21973	43816
167	22020	43517
168	22060	43207
169	22244	43179
170	22286	42878
171	22352	42624
172	22409	42357
173	22471	42100
174	22527	41835
175	22566	41543
176	22768	41549
177	22978	41568
178	23183	41574
179	23388	41580
180	23456	41340
181	23656	41334
182	23850	41315
183	23890	41029
184	23916	40723
185	23951	40434
186	24150	40422
187	24389	40476
188	24577	40442
189	24787	40442
190	24989	40427
191	25191	40410
192	25391	40390
193	25526	40263
194	25738	40257
195	25941	40235
196	26135	40198
197	26261	40054
198	26454	40014
199	26592	39888
200	26823	39901
201	27038	39888
202	27269	39896
203	27470	39859
204	27678	39829
205	27876	39784
206	28078	39744
207	28290	39716
208	28503	39686
209	28673	39597
210	28756	39386
211	28804	39130
212	29006	39083
213	29128	38929
214	29315	38860
215	29379	38629
216	29574	38568
217	29770	38510
218	29979	38467
219	30182	38413
220	30313	38269
221	30510	38206
222	30673	38101
223	30882	38052
224	31087	37996
225	31296	37943
226	31496	37878
227	31566	37658
228	31759	37583
229	31961	37519
230	32162	37453
231	32360	37381
232	32502	37245
233	32589	37046
234	32671	36842
235	32893	36796
236	33109	36741
237	33137	36479
238	33331	36400
239	33408	36192
240	33614	36124
241	33815	36051
242	34012	35972
243	34217	35900
244	34418	35823
245	34600	35725
246	34809	35655
247	34858	35420
248	35065	35346
249	35110	35110
250	35322	35040
251	35371	34810
252	35580	34736
253	35826	34698
254	36029	34616
255	36486	34776
256	36811	34806
257	37012	34717
258	37221	34634
259	37420	34542
260	37646	34473
261	37860	34392
262	38083	34318
263	38163	34116
264	38440	34088
265	38648	33998
266	38766	33829
267	38971	33736
268	39178	33643
269	39395	33559
270	39609	33470
271	39819	33378
272	39893	33171
273	40010	33001
274	40166	32863
275	40380	32772
276	40458	32571
277	40724	32521
278	40754	32282
279	40890	32128
280	41324	32206
281	41618	32173
282	41645	31932
283	41695	31712
284	41946	31644
285	42160	31546
286	42351	31431
287	42529	31306
288	42768	31225
289	42971	31117
290	43166	31003
291	43290	30837
292	43420	30676
293	43644	30581
294	43844	30468
295	43912	30263
296	44112	30150
297	44340	30056
298	44541	29942
299	44665	29777
300	44991	29745
301	45261	29674
302	45453	29552
303	45658	29437
304	45865	29323
305	46066	29205
306	46273	29090
307	46471	28969
308	46662	28843
309	46789	28677
310	46853	28473
311	46919	28272
312	47045	28106
313	47264	27997
314	47469	27878
315	47674	27760
316	47799	27593
317	47953	27444
318	48017	27245
319	48216	27121
320	48437	27010
321	48615	26874
322	48820	26753
323	49042	26640
324	49129	26454
325	49331	26330
326	49543	26211
327	49747	26087
328	49938	25955
329	50134	25826
330	50266	25665
331	50470	25539
332	50513	25332
333	50727	25211
334	50939	25089
335	51134	24958
336	51285	24805
337	51479	24673
338	51679	24544
339	51823	24387
340	52018	24255
341	52124	24080
342	52245	23914
343	52452	23786
344	52651	23655
345	52847	23521
346	53040	23386
347	53246	23257
348	53469	23134
349	53661	22997
350	53864	22865
351	54054	22727
352	54243	22588
353	54435	22450
354	54635	22315
355	54825	22176
356	55034	22044
357	55077	21846
358	55261	21704
359	55458	21567
360	55505	21372
361	55535	21171
362	55739	21036
363	55939	20900
364	56134	20762
365	56224	20585
366	56431	20450
367	56642	20317
368	56870	20189
369	57082	20055
370	57209	19892
371	57402	19751
372	57609	19614
373	57824	19481
374	58032	19344
375	58077	19153
376	58301	19021
377	58357	18834
378	58580	18702
379	58702	18537
380	58900	18396
381	59097	18255
382	59260	18103
383	59303	17914
384	59431	17752
385	59649	17616
386	59845	17474
387	60070	17339
388	60226	17185
389	60455	17051
390	60509	16868
391	60567	16687
392	60781	16548
393	60977	16405
394	61177	16262
395	61392	16123
396	61604	15983
397	61823	15844
398	62032	15702
399	62246	15561
400	62460	15420
401	62626	15267
402	62835	15124
403	63042	14980
404	63219	14829
405	63338	14664
406	63518	14514
407	63708	14365
408	63911	14219
409	64065	14063
410	64188	13899
411	64373	13749
412	64414	13569
413	64625	13424
414	64834	13279
415	64920	13108
416	65125	12962
417	65316	12813
418	65514	12665
419	65721	12518
420	65899	12365
421	66106	12218
422	66315	12071
423	66526	11924
424	66726	11775
425	66955	11630
426	67090	11469
427	67270	11316
428	67476	11167
429	67683	11018
430	67845	10861
431	68049	10711
432	68087	10535
433	68297	10386
434	68512	10237
435	68710	10085
436	68891	9931
437	69015	9769
438	69077	9598
439	69300	9450
440	69453	9291
441	69669	9142
442	69849	8987
443	69981	8826
444	70201	8676
445	70404	8524
446	70618	8373
447	70650	8200
448	70860	8048
449	71071	7896
450	71279	7744
451	71482	7591
452	71695	7438
453	71897	7284
454	72079	7128
455	72283	6974
456	72424	6814
457	72528	6651
458	72765	6499
459	72918	6340
460	73139	6187
461	73269	6026
462	73484	5872
463	73702	5718
464	73917	5563
465	73965	5396
466	74173	5241
467	74386	5086
468	74611	4931
469	74804	4774
470	74854	4608
471	75078	4453
472	75225	4294
473	75399	4135
474	75580	3977
475	75781	3820
476	75989	3664
477	76128	3503
478	76306	3345
479	76413	3183
480	76619	3026
481	76824	2868
482	77025	2711
483	77233	2553
484	77301	2390
485	77510	2232
486	77626	2072
487	77646	1909
488	77673	1747
489	77700	1585
490	77902	1427
491	78010	1268
492	78206	1110
493	78426	952
494	78454	792
495	78564	633
496	78591	474
497	78740	316
498	78802	157
499	78964	0
