MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7896736	135.9153	116.7858	102.133	141.791	153.7703	135.4712	146.3783	137.1116	168.0804	172.1125	150.4121	178.9736
7896738	26.8458	28.1078	27.6851	28.4614	26.611	27.6939	27.2666	28.3577	27.1311	27.1949	27.5042	28.6762
7896740	31.2116	31.6127	33.0668	31.6599	31.0363	30.0096	30.2987	31.5051	31.7154	33.3619	34.1682	31.7815
7896742	699.5127	830.8206	825.4612	710.0635	669.884	714.1769	868.5139	794.2561	449.039	780.9971	755.4475	675.6172
7896744	108.4411	111.8782	113.8566	99.2342	78.3386	81.4209	117.3133	112.3646	74.6266	116.1319	121.1175	92.4305
7896746	1063.4213	901.3827	1264.8517	994.2628	1404.1031	1339.1829	1479.4103	1100.9495	1471.179	1270.4249	1169.1174	1351.3121
7896748	157.7874	148.0238	212.0051	152.5329	175.9493	223.523	302.7949	243.9104	130.7666	124.3134	119.3201	135.6727
7896750	31.1987	33.5797	35.0494	31.085	39.6934	39.043	46.622	46.2633	32.5685	31.4432	28.528	34.2066
7896752	2003.905	1984.0208	2556.0955	2169.0264	2643.2986	2627.2224	2637.4333	3236.776	2496.5913	2108.5603	1766.7761	2287.01
7896754	232.1961	249.8383	221.7055	194.1513	190.9315	168.2014	215.6893	238.4813	257.3236	219.9995	195.9143	169.7458
7896756	97.8355	103.2952	123.454	118.2979	115.7873	108.5393	110.644	119.6727	93.2742	96.2316	112.2157	138.6914
