iter	Passed	Remaining
0	1512	1057574
1	2793	975025
2	4136	961137
3	5445	947598
4	6708	932455
5	6766	782634
6	6799	673181
7	8112	701748
8	9460	726352
9	9607	662935
10	9645	604185
11	11192	641692
12	13344	705189
13	14872	728754
14	16364	747301
15	18107	774108
16	18166	729858
17	19705	746603
18	21200	759867
19	22695	771660
20	24296	785572
21	25945	799581
22	27409	806805
23	29139	820750
24	30659	827819
25	32195	834617
26	33736	840907
27	35455	850926
28	36990	855877
29	38624	862604
30	40199	867534
31	41715	870805
32	43281	874815
33	45092	883275
34	46582	885062
35	46653	860491
36	48221	864074
37	50021	871432
38	51565	873972
39	53216	878067
40	55027	884459
41	55095	863163
42	56899	869373
43	58851	877418
44	60529	881038
45	60594	861490
46	62122	863103
47	63533	862994
48	63579	844705
49	65032	845425
50	67241	855680
51	69018	860077
52	69161	844286
53	69402	830258
54	71665	840443
55	73474	844952
56	75106	847255
57	78088	864363
58	79953	868645
59	80012	853471
60	81559	854368
61	81622	839923
62	83083	840068
63	84608	840793
64	86229	842396
65	86288	828890
66	86366	815966
67	86414	803147
68	87952	804323
69	89382	804441
70	90816	804557
71	90865	792545
72	92287	792658
73	94016	795330
74	95597	796644
75	97057	796893
76	98481	796805
77	99854	796272
78	101313	796402
79	102773	796494
80	104218	796434
81	105666	796367
82	107080	796006
83	108533	795908
84	110054	796279
85	111765	797951
86	113164	797354
87	114584	796882
88	115996	796334
89	117459	796113
90	118891	795656
91	120287	794943
92	121695	794294
93	121732	784783
94	123163	784355
95	124600	783942
96	124653	774906
97	126060	774373
98	127478	773887
99	128856	773137
100	130269	772588
101	131671	771955
102	133089	771401
103	134542	771030
104	135973	770513
105	137387	769887
106	138769	769066
107	140190	768452
108	141624	767889
109	143085	767458
110	144550	767030
111	146011	766559
112	147440	765910
113	148853	765160
114	150295	764546
115	151811	764291
116	151901	756912
117	153660	757886
118	155260	758035
119	157152	759571
120	157195	752201
121	158962	753118
122	160637	753561
123	162489	754791
124	164135	755024
125	165709	754897
126	167330	754962
127	168970	755085
128	169029	748183
129	170791	748853
130	172404	748840
131	172492	742242
132	174318	743146
133	175996	743388
134	177682	743632
135	179720	745311
136	181166	744500
137	182618	743708
138	184938	746407
139	189048	756193
140	193288	766299
141	195362	767690
142	195398	761099
143	196852	760068
144	198740	760697
145	200184	759604
146	201597	758390
147	202984	757078
148	204381	755801
149	205786	754550
